Curve,Gap(V),Dop(Type),Dop(Value)
0,0.34,p,0.09
1,0.05,n,-0.02
2,1.14,p,0.36
3,0.86,n,-0.12
4,0.46,p,0.13
5,1.63,n,-0.02
6,0.72,n,-0.11
7,1.33,n,-0.14
8,1.04,n,-0.18
9,1.15,n,-0.26
10,1.63,n,-0.46
11,1.33,p,0.39
12,1.3,p,0.08
13,0.27,n,-0.12
14,0.95,n,-0.09
15,0.23,n,-0.04
16,2.41,p,0.56
17,1.35,n,-0.1
18,0.44,n,-0.05
19,2.12,p,0.12
20,1.09,p,0.38
21,0.82,p,0.21
22,0.45,n,-0.05
23,0.45,n,-0.06
24,0.42,n,-0.09
25,0.62,p,0.07
26,1.48,p,0.3
27,0.58,p,0.13
28,0.7,n,-0.2
29,1.12,p,0.04
30,0.89,n,-0.06
31,0.5,neutro,0.0
32,0.5,p,0.05
33,1.55,p,0.48
34,1.76,p,0.37
35,1.32,p,0.26
36,0.78,n,-0.3
37,0.9,p,0.04
38,0.76,n,-0.12
39,1.7,n,-0.39
40,1.84,p,0.69
41,0.09,p,0.04
42,0.7,n,-0.34
43,0.81,n,-0.41
44,0.7,n,-0.12
45,0.97,n,-0.08
46,1.27,p,0.13
47,1.01,p,0.23
48,1.43,p,0.43
49,1.34,p,0.51
50,1.16,p,0.4
51,1.12,p,0.05
52,0.69,p,0.33
53,1.65,p,0.29
54,1.52,p,0.05
55,1.34,n,-0.11
56,0.95,p,0.16
57,1.43,n,-0.3
58,0.92,n,-0.25
59,1.06,p,0.05
