,a,a_neg,a_pos
0,5.252,-0.209,0.931
1,15.269,-0.088,0.295
2,0.384,-0.005,0.003
3,0.618,-0.107,0.01
4,1.477,0.019,0.03
5,0.111,-0.0,0.005
6,0.775,-0.005,0.023
7,0.104,-0.003,0.001
8,0.155,0.001,0.001
9,0.468,-0.001,0.003
10,0.18,0.001,0.002
11,0.384,-0.006,0.005
12,0.014,-0.001,0.011
13,0.751,-0.005,-0.008
14,0.605,-0.004,0.012
15,2.084,-0.005,-0.025
16,0.225,-0.002,0.002
17,0.112,-0.0,-0.0
18,3.364,-0.032,0.046
19,0.031,-0.0,-0.0
20,0.957,-0.003,0.003
21,1.292,0.001,0.009
22,0.496,-0.071,0.055
23,0.293,-0.041,0.048
24,1.729,-0.012,0.001
25,0.812,-0.049,-0.01
26,0.144,-0.002,0.001
27,2.577,-0.114,0.005
28,1.102,-0.019,0.075
29,0.331,-0.01,-0.001
30,0.837,0.012,0.023
31,1.565,0.008,0.008
32,1.104,-0.04,0.032
33,0.163,-0.013,0.003
34,0.227,-0.005,0.003
35,0.451,-0.012,0.001
36,0.531,-0.003,0.093
37,0.492,-0.017,0.005
38,0.767,-0.031,0.026
39,0.344,-0.004,0.013
40,0.704,-0.007,0.003
41,3.359,-0.046,0.183
42,0.249,-0.005,0.038
43,0.196,0.005,0.048
44,0.922,-0.03,0.024
45,0.361,-0.019,0.009
46,0.144,-0.015,0.016
47,0.678,-0.059,0.003
48,0.343,-0.012,0.004
49,0.712,-0.013,-0.002
50,0.92,-0.069,0.001
51,0.298,-0.009,0.002
52,3.004,-0.095,0.009
53,0.328,-0.003,0.0
54,0.432,-0.007,0.003
55,0.174,-0.005,0.0
56,0.846,-0.09,0.001
57,0.479,-0.001,-0.001
58,0.882,-0.012,0.006
59,0.452,-0.014,0.01
